"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Central Europe and the Baltics","CEB","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84446940427075","1.73357090167322","1.70439729080514","1.68500999569587","1.77321699597658","1.86182134395194","1.92841851439505","1.86861126180146","1.70303579874804","1.48024443436764","1.26216570835521","1.15282064869541","1.1151348739325","1.04239403710878","1.0146711590453","0.992180892827891","0.941528112111294","0.935228496687215","0.913307470963786","0.839179773463209","0.787331871464949","0.758083057354425","0.71302650490756","0.65100150471335","0.624634086974266","0.622334899109731","0.610172051214837","0.573577031852803","0.52962008036801","0.528520020489972","",
"Switzerland","CHE","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0.9","0.9","0.9","0.8","0.8","0.7","0.7","0.7","0.6","0.6","0.6","0.6","0.5","0.5","0.5","0.5","0.5","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.3","0.3","0.3","0.3","0.3","",
"Channel Islands","CHI","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","1.5","1.4","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","1","0.9","0.9","0.9","0.8","0.8","0.8","0.8","1","0.7","0.7","0.7","0.7","0.7","0.7","0.7","0.6","0.6","",
"China","CHN","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.4","4.2","3.9","3.7","3.5","3.3","3.1","2.9","2.7","2.5","2.4","2.2","2.1","2","1.9","1.8","1.7","1.6","2","1.4","1.3","1.3","1.2","1.2","1.1","1.1","1","1","1","0.9","",
"Cote d'Ivoire","CIV","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","17.5","17.2","16.9","16.7","16.4","16.1","15.8","15.6","15.4","15.2","15","14.9","14.9","14.8","14.9","14.9","15","15","15.2","15.2","15.3","15.3","15.4","15.3","15.3","15.1","14.9","14.6","14.3","",
"Cameroon","CMR","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.3","22.1","21.9","21.8","21.6","21.4","21.2","21.1","20.9","20.7","20.5","20.2","20","19.7","19.4","19.1","18.8","18.5","18.2","17.8","17.5","17.1","16.8","16.4","16.1","15.7","15.4","15.1","14.7","14.3","",
"Congo, Dem. Rep.","COD","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","25.4","24.8","24.3","23.7","23.1","22.6","22","21.5","21","20.5","20","19.5","19","18.6","18.1","17.7","17.2","16.8","16.4","15.9","15.5","15.1","14.7","14.3","13.9","13.5","13.1","12.7","12.4","",
"Congo, Rep.","COG","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","20.7","19.5","18.5","17.5","16.6","15.8","28","18.5","13.4","12.7","12","11.4","10.7","10","9.4","8.8","8.2","7.7","7.1","6.7","6.2","5.8","5.4","5.1","4.9","4.7","4.5","4.3","4.1","",
"Colombia","COL","Probability of dying among children ages 5-9 years (per 1,000)","SH.DYN.0509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","2.1","2","1.9","1.8","1.8","1.7","1.7","1.7","1.6","1.6","1.6","1.5","1.5","1.5","1.4","1.4","1.4","1.3","1.3","1.3","1.2","1.2","1.2","1.2","1.1","1.1","1.1","1.1","1.1","",
